clone	push	retard	README.md                	Makefile                 	tp1.c                    	cp.txt                   	liste.sh                 	depot, etudiant et projet
-----	----	------	-------------------------	-------------------------	-------------------------	-------------------------	-------------------------	-------------------------
0	1	0	2020-10-18 18:39:12 -0400	2020-10-14 23:14:37 -0400	2020-10-17 03:58:35 -0400	2020-10-14 23:14:37 -0400	2020-10-15 18:51:07 -0400	github.com/708bobo/inf3135-a2020
0	1	0	2020-10-14 15:53:43 -0400	2020-10-17 13:02:06 -0400	2020-10-14 15:53:43 -0400	2020-10-14 15:53:43 -0400	2020-10-17 13:02:06 -0400	github.com/Alex-Ali-Fulgence/inf3135-a2020
0	0	0	2020-10-18 19:24:08 -0400	2020-10-18 14:40:08 -0400	2020-10-17 22:08:43 -0400		2020-10-17 22:13:37 -0400	github.com/amariomar/inf3135-a2020
0	0	0	2020-10-10 19:31:10 -0400					github.com/AnneMa22/inf3135-a2020
0	0	0	2020-10-18 20:41:12 -0400	2020-10-18 20:41:12 -0400	2020-10-18 20:41:12 -0400	2020-10-06 11:17:59 -0400	2020-10-05 16:17:36 -0400	github.com/AurelienGG/inf3135-a2020
0	1	0		2020-10-18 20:17:27 -0400	2020-10-18 20:17:27 -0400	2020-10-18 20:23:01 -0400	2020-10-18 20:18:59 -0400	github.com/BassemNasralla/inf3135-a2020
0	0	0	2020-10-18 13:09:10 -0400	2020-10-11 18:12:41 -0400	2020-10-18 12:53:14 -0400	2020-10-11 16:44:00 -0400	2020-10-17 17:11:45 -0400	github.com/bcote9005/inf3135-a2020
128	0	0						github.com/bdkandil/inf3135-a2020
0	1	0	2020-10-18 18:15:36 -0400	2020-10-18 16:59:14 -0400	2020-10-15 22:10:57 -0400	2020-10-15 22:23:22 -0400	2020-10-18 17:56:20 -0400	github.com/bj291929/inf3135-a2020
0	1	0	2020-10-14 14:37:50 -0400	2020-10-14 14:31:28 -0400	2020-10-13 21:07:12 -0400	2020-10-14 00:18:28 -0400	2020-10-14 14:31:28 -0400	github.com/B-Yan/inf3135-a2020
0	0	0	2020-10-18 20:46:15 -0400	2020-10-16 21:48:13 -0400	2020-10-18 20:17:25 -0400	2020-10-18 20:08:59 -0400	2020-10-18 20:08:19 -0400	github.com/cmiquelon/inf3135-a2020
0	0	0	2020-10-18 19:09:12 -0400	2020-10-18 20:26:57 -0400	2020-10-18 17:48:55 -0400	2020-10-18 17:48:55 -0400	2020-10-18 17:48:55 -0400	github.com/cosplaythief/inf3135-a2020
0	1	0	2020-10-18 00:54:46 -0400	2020-10-18 00:08:11 -0400	2020-10-18 20:22:48 -0400	2020-10-16 21:14:05 -0400	2020-10-18 20:22:48 -0400	github.com/DalilT/inf3135-a2020
0	1	0	2020-10-18 20:46:06 -0400	2020-10-18 02:37:46 -0400	2020-10-18 02:39:34 -0400	2020-10-18 20:58:49 -0400	2020-10-18 20:17:41 -0400	github.com/Danny-jered/inf3135-a2020
128	0	0						github.com/Davezdh/inf3135-a2020
0	0	0	2020-10-17 15:57:57 -0400	2020-10-17 15:30:03 -0400	2020-10-17 15:30:03 -0400	2020-10-17 15:55:03 -0400	2020-10-17 15:30:03 -0400	github.com/DavidUQAM/inf3135-a2020
